timestamp,website_url,error_type,error_message,region
2026-02-23T20:59:47.813Z,bb2r.com,http,409,us
2026-02-23T21:00:00.128Z,bato.to,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T21:00:14.187Z,casinoplus.com.ph,http,403,us
2026-02-23T21:00:26.629Z,ekstrabladet.dk,internal,TypeError: Cannot read properties of undefined (reading 'length'),us
2026-02-23T21:00:26.821Z,cardmarket.com,http,403,us
2026-02-23T21:00:41.539Z,bank.in,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.bank.in,us
2026-02-23T21:00:53.943Z,lk21official.cc,http,404,us
2026-02-23T21:00:59.859Z,bato.si,http,523,us
2026-02-23T21:01:04.244Z,lausd.net,internal,NullError: Response was null,us
2026-02-23T21:01:54.222Z,manoramaonline.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T21:01:54.223Z,goodreturns.in,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T21:02:09.235Z,ppomppu.co.kr,internal,ReferenceError: gatherer is not defined,us
2026-02-23T21:02:09.259Z,parivahan.gov.in,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T21:02:18.099Z,bingoplus.com,http,403,us
2026-02-23T21:03:16.711Z,skokka.com,http,403,us
2026-02-23T21:03:18.075Z,myreadingmanga.info,http,403,us
2026-02-23T21:03:25.813Z,arabtnt.com,http,403,us
2026-02-23T21:03:31.676Z,24xxxx.win,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.24xxxx.win,us
2026-02-23T21:03:45.709Z,googll.store,http,403,us
2026-02-23T21:03:49.436Z,eroterest.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.eroterest.net,us
2026-02-23T21:03:49.674Z,happymh.com,http,403,us
2026-02-23T21:03:55.248Z,lectormangaa.com,http,403,us
2026-02-23T21:03:58.247Z,listcrawler.eu,http,403,us
2026-02-23T21:04:34.259Z,bt.dk,internal,TypeError: Cannot read properties of undefined (reading 'length'),us
2026-02-23T21:05:25.427Z,manhwaweb.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T21:08:44.414Z,kamababa.desi,internal,"AbandonedError: The analyzer was abandoned, probably due to inactivity",us
